n,m,sparsiness,number,p,time,name
1000,10000,99,2,0.7,5.3650383949279785,sparse
100,300,97,2,0.7,0.02715277671813965,sparse
300,45000,50,0,0.7,1.299483060836792,density
300,5400,99,0,0.7,0.3200826644897461,sparseextra
50,825,97,4,0.7,0.015666484832763672,sparseextra
100,100,99,3,0.7,0.020098447799682617,sparse
100,1600,99,3,0.7,0.02508997917175293,sparseextra
300,9000,95,0,0.7,0.7507715225219727,sparseextra
200,3400,99,3,0.7,0.1150655746459961,sparseextra
1000,30000,97,2,0.7,10.722609996795654,sparse
50,25,99,4,0.7,0.0068247318267822266,sparse
50,25,99,0,0.7,0.005053997039794922,sparse
1000,30000,97,0,0.7,10.459566354751587,sparse
100,5000,50,2,0.7,0.06231069564819336,density
200,3400,99,0,0.7,0.10066866874694824,sparseextra
1000,50000,95,3,0.7,21.10749650001526,sparse
1000,45000,97,0,0.7,11.129834413528442,sparseextra
300,5400,99,4,0.7,0.3075385093688965,sparseextra
500,12500,95,0,0.7,1.7626605033874512,sparse
100,1600,99,0,0.7,0.025499820709228516,sparseextra
100,2500,75,2,0.7,0.04392886161804199,density
100,500,95,4,0.7,0.035364627838134766,sparse
500,12500,95,2,0.7,1.807546854019165,sparse
200,4200,97,2,0.7,0.163818359375,sparseextra
300,45000,50,2,0.7,1.3156108856201172,density
200,1200,97,2,0.7,0.09037637710571289,sparse
50,825,97,0,0.7,0.012396097183227539,sparseextra
200,4200,97,0,0.7,0.18051958084106445,sparseextra
100,300,97,1,0.7,0.014736413955688477,sparse
1000,65000,95,1,0.7,21.371339797973633,sparseextra
1000,10000,99,1,0.7,5.471203327178955,sparse
500,10000,99,2,0.7,1.2109224796295166,sparseextra
100,2500,75,0,0.7,0.043950796127319336,density
300,7200,97,2,0.7,0.5361754894256592,sparseextra
300,22500,75,3,0.7,1.2995796203613281,density
500,7500,97,4,0.7,1.5655202865600586,sparse
200,5000,95,1,0.7,0.20731830596923828,sparseextra
1000,30000,97,1,0.7,10.437310695648193,sparse
50,875,95,2,0.7,0.016556978225708008,sparseextra
1000,25000,99,4,0.7,6.57810115814209,sparseextra
50,775,99,2,0.7,0.014487266540527344,sparseextra
100,2500,75,3,0.7,0.04334521293640137,density
100,100,99,0,0.7,0.019783735275268555,sparse
500,2500,99,4,0.7,0.6123197078704834,sparse
200,2000,95,0,0.7,0.13186097145080566,sparse
300,9000,95,3,0.7,0.7257440090179443,sparseextra
50,125,95,4,0.7,0.009520769119262695,sparse
50,775,99,0,0.7,0.007792472839355469,sparseextra
300,7200,97,0,0.7,0.5408976078033447,sparseextra
200,1200,97,1,0.7,0.08766937255859375,sparse
100,2500,75,1,0.7,0.04329562187194824,density
500,2500,99,1,0.7,0.6078944206237793,sparse
300,900,99,3,0.7,0.13061761856079102,sparse
100,2000,95,0,0.7,0.06758403778076172,sparseextra
200,3400,99,2,0.7,0.11232256889343262,sparseextra
50,75,97,0,0.7,0.004721879959106445,sparse
500,10000,99,0,0.7,1.244171380996704,sparseextra
